1pRank,2pRank,n,p1_win,p1_rate
22,13,34,33,0.9705882352941176
22,14,31,25,0.8064516129032258
22,15,89,80,0.898876404494382
22,16,41,34,0.8292682926829268
22,17,279,232,0.8315412186379928
22,18,402,316,0.7860696517412935
22,19,575,434,0.7547826086956522
22,20,3220,2145,0.6661490683229814
22,21,3424,1994,0.5823598130841121
22,22,2261,1133,0.5011057054400707
22,23,1928,810,0.42012448132780084
22,24,1555,513,0.329903536977492
22,25,161,43,0.2670807453416149
22,26,49,10,0.20408163265306123
22,27,27,4,0.14814814814814814
22,28,2,0,0
23,0,4,4,1
23,2,4,4,1
23,5,1,1,1
23,7,2,2,1
23,8,11,7,0.6363636363636364
23,9,4,4,1
23,10,7,5,0.7142857142857143
23,11,2,0,0
23,12,11,9,0.8181818181818182
23,13,38,38,1
23,14,57,53,0.9298245614035088
23,15,71,67,0.9436619718309859
23,16,44,43,0.9772727272727273
23,17,56,48,0.8571428571428571
23,18,253,219,0.8656126482213439
23,19,191,147,0.7696335078534031
23,20,398,278,0.6984924623115578
23,21,2735,1856,0.6786106032906765
23,22,1885,1087,0.576657824933687
23,23,1728,849,0.4913194444444444
23,24,1400,583,0.4164285714285714
23,25,852,296,0.3474178403755869
23,26,64,18,0.28125
23,27,11,6,0.5454545454545454
23,28,8,3,0.375
23,29,6,4,0.6666666666666666
24,0,4,4,1
24,2,5,5,1
24,3,2,2,1
24,4,2,2,1
24,5,2,2,1
24,6,6,6,1
24,7,1,0,0
24,8,3,3,1
24,9,4,4,1
24,10,6,2,0.3333333333333333
24,12,7,7,1
24,13,4,4,1
24,14,32,29,0.90625
24,15,62,61,0.9838709677419355
24,16,31,31,1
24,17,30,24,0.8
24,18,26,22,0.8461538461538461
24,19,84,64,0.7619047619047619
24,20,91,68,0.7472527472527473
24,21,277,201,0.7256317689530686
24,22,1506,1012,0.6719787516600265
24,23,1540,882,0.5727272727272728
24,24,1228,588,0.4788273615635179
24,25,858,347,0.40442890442890445
24,26,698,242,0.3467048710601719
24,27,44,14,0.3181818181818182
24,28,9,2,0.2222222222222222
24,29,10,0,0
25,0,3,3,1
25,1,2,2,1
25,5,2,2,1
25,6,4,4,1
25,8,1,0,0
25,9,10,10,1
25,10,4,4,1
25,11,2,2,1
25,12,4,4,1
25,13,3,3,1
25,14,4,4,1
25,15,37,35,0.9459459459459459
25,16,29,25,0.8620689655172413
25,17,21,20,0.9523809523809523
25,18,17,15,0.8823529411764706
25,19,12,9,0.75
25,20,77,63,0.8181818181818182
25,21,144,109,0.7569444444444444
25,22,146,89,0.6095890410958904
25,23,924,628,0.6796536796536796
25,24,909,512,0.5632563256325632
25,25,642,331,0.5155763239875389
25,26,534,213,0.398876404494382
25,27,286,108,0.3776223776223776
25,28,30,7,0.23333333333333334
25,29,13,1,0.07692307692307693
26,6,2,2,1
26,9,2,2,1
26,10,3,3,1
26,11,2,2,1
26,12,2,2,1
26,15,2,2,1
26,16,9,9,1
26,17,19,19,1
26,18,16,16,1
26,19,17,13,0.7647058823529411
26,20,6,2,0.3333333333333333
26,21,83,61,0.7349397590361446
26,22,38,32,0.8421052631578947
26,23,93,63,0.6774193548387096
26,24,730,443,0.6068493150684932
26,25,578,322,0.5570934256055363
26,26,461,228,0.4945770065075922
26,27,322,144,0.4472049689440994
26,28,209,65,0.31100478468899523
26,29,15,0,0
27,1,1,1,1
27,6,2,2,1
27,7,4,4,1
27,8,2,2,1
27,10,2,2,1
27,11,4,4,1
27,12,3,3,1
27,13,4,4,1
27,14,4,4,1
27,15,4,4,1
27,17,23,23,1
27,18,12,12,1
27,19,20,18,0.9
27,20,7,7,1
27,21,10,6,0.6
27,22,30,21,0.7
27,23,6,6,1
27,24,23,17,0.7391304347826086
27,25,310,210,0.6774193548387096
27,26,287,177,0.6167247386759582
27,27,209,114,0.5454545454545454
27,28,130,55,0.4230769230769231
27,29,39,15,0.38461538461538464
28,0,2,2,1
28,4,4,4,1
28,5,1,1,1
28,7,1,1,1
28,8,2,2,1
28,9,2,2,1
28,12,5,5,1
28,15,2,2,1
28,18,7,7,1
28,19,7,7,1
28,20,2,1,0.5
28,21,2,2,1
28,22,3,3,1
28,23,6,6,1
28,24,17,14,0.8235294117647058
28,25,30,22,0.7333333333333333
28,26,192,134,0.6979166666666666
28,27,130,80,0.6153846153846154
28,28,104,60,0.5769230769230769
28,29,60,21,0.35
29,3,2,2,1
29,10,2,2,1
29,18,1,1,1
29,19,7,5,0.7142857142857143
29,20,7,7,1
29,21,5,5,1
29,22,1,1,1
29,24,7,7,1
29,25,8,4,0.5
29,26,7,7,1
29,27,68,37,0.5441176470588235
29,28,77,46,0.5974025974025974
29,29,38,21,0.5526315789473685
